kind,stage,severity,seed,condition,accuracy,n
intact,none,0.0,0,canonical,1.000000,30
intact,none,0.0,0,fragmented,0.633333,30
intact,none,0.0,0,low_contrast,0.933333,30
intact,none,0.0,0,noise,1.000000,30
intact,none,0.0,0,crowded,0.566667,30
intact,none,0.0,0,rotated,0.900000,30
intact,none,0.0,0,sheared,0.933333,30
ablation,V1,0.1,0,canonical,0.966667,30
ablation,V1,0.1,0,fragmented,0.566667,30
ablation,V1,0.1,0,low_contrast,0.933333,30
ablation,V1,0.1,0,noise,0.866667,30
ablation,V1,0.1,0,crowded,0.433333,30
ablation,V1,0.1,0,rotated,0.733333,30
ablation,V1,0.1,0,sheared,0.666667,30
ablation,V2,0.1,0,canonical,0.866667,30
ablation,V2,0.1,0,fragmented,0.500000,30
ablation,V2,0.1,0,low_contrast,0.933333,30
ablation,V2,0.1,0,noise,0.966667,30
ablation,V2,0.1,0,crowded,0.266667,30
ablation,V2,0.1,0,rotated,0.700000,30
ablation,V2,0.1,0,sheared,0.733333,30
ablation,V4,0.1,0,canonical,0.800000,30
ablation,V4,0.1,0,fragmented,0.466667,30
ablation,V4,0.1,0,low_contrast,0.900000,30
ablation,V4,0.1,0,noise,0.766667,30
ablation,V4,0.1,0,crowded,0.366667,30
ablation,V4,0.1,0,rotated,0.633333,30
ablation,V4,0.1,0,sheared,0.733333,30
ablation,IT,0.1,0,canonical,1.000000,30
ablation,IT,0.1,0,fragmented,0.533333,30
ablation,IT,0.1,0,low_contrast,0.933333,30
ablation,IT,0.1,0,noise,1.000000,30
ablation,IT,0.1,0,crowded,0.700000,30
ablation,IT,0.1,0,rotated,0.900000,30
ablation,IT,0.1,0,sheared,0.933333,30
ablation,V1,0.2,0,canonical,0.833333,30
ablation,V1,0.2,0,fragmented,0.466667,30
ablation,V1,0.2,0,low_contrast,0.533333,30
ablation,V1,0.2,0,noise,0.766667,30
ablation,V1,0.2,0,crowded,0.333333,30
ablation,V1,0.2,0,rotated,0.466667,30
ablation,V1,0.2,0,sheared,0.566667,30
ablation,V2,0.2,0,canonical,0.900000,30
ablation,V2,0.2,0,fragmented,0.466667,30
ablation,V2,0.2,0,low_contrast,0.533333,30
ablation,V2,0.2,0,noise,0.566667,30
ablation,V2,0.2,0,crowded,0.533333,30
ablation,V2,0.2,0,rotated,0.633333,30
ablation,V2,0.2,0,sheared,0.800000,30
ablation,V4,0.2,0,canonical,0.666667,30
ablation,V4,0.2,0,fragmented,0.433333,30
ablation,V4,0.2,0,low_contrast,0.700000,30
ablation,V4,0.2,0,noise,0.533333,30
ablation,V4,0.2,0,crowded,0.300000,30
ablation,V4,0.2,0,rotated,0.600000,30
ablation,V4,0.2,0,sheared,0.533333,30
ablation,IT,0.2,0,canonical,0.933333,30
ablation,IT,0.2,0,fragmented,0.566667,30
ablation,IT,0.2,0,low_contrast,0.866667,30
ablation,IT,0.2,0,noise,0.933333,30
ablation,IT,0.2,0,crowded,0.466667,30
ablation,IT,0.2,0,rotated,0.633333,30
ablation,IT,0.2,0,sheared,0.833333,30
ablation,V1,0.35,0,canonical,0.700000,30
ablation,V1,0.35,0,fragmented,0.433333,30
ablation,V1,0.35,0,low_contrast,0.666667,30
ablation,V1,0.35,0,noise,0.766667,30
ablation,V1,0.35,0,crowded,0.266667,30
ablation,V1,0.35,0,rotated,0.500000,30
ablation,V1,0.35,0,sheared,0.500000,30
ablation,V2,0.35,0,canonical,0.800000,30
ablation,V2,0.35,0,fragmented,0.333333,30
ablation,V2,0.35,0,low_contrast,0.633333,30
ablation,V2,0.35,0,noise,0.266667,30
ablation,V2,0.35,0,crowded,0.433333,30
ablation,V2,0.35,0,rotated,0.500000,30
ablation,V2,0.35,0,sheared,0.533333,30
ablation,V4,0.35,0,canonical,0.566667,30
ablation,V4,0.35,0,fragmented,0.266667,30
ablation,V4,0.35,0,low_contrast,0.566667,30
ablation,V4,0.35,0,noise,0.400000,30
ablation,V4,0.35,0,crowded,0.266667,30
ablation,V4,0.35,0,rotated,0.366667,30
ablation,V4,0.35,0,sheared,0.300000,30
ablation,IT,0.35,0,canonical,1.000000,30
ablation,IT,0.35,0,fragmented,0.500000,30
ablation,IT,0.35,0,low_contrast,0.833333,30
ablation,IT,0.35,0,noise,0.933333,30
ablation,IT,0.35,0,crowded,0.500000,30
ablation,IT,0.35,0,rotated,0.800000,30
ablation,IT,0.35,0,sheared,0.733333,30
ablation,V1,0.5,0,canonical,0.733333,30
ablation,V1,0.5,0,fragmented,0.266667,30
ablation,V1,0.5,0,low_contrast,0.366667,30
ablation,V1,0.5,0,noise,0.233333,30
ablation,V1,0.5,0,crowded,0.233333,30
ablation,V1,0.5,0,rotated,0.366667,30
ablation,V1,0.5,0,sheared,0.333333,30
ablation,V2,0.5,0,canonical,0.266667,30
ablation,V2,0.5,0,fragmented,0.133333,30
ablation,V2,0.5,0,low_contrast,0.100000,30
ablation,V2,0.5,0,noise,0.100000,30
ablation,V2,0.5,0,crowded,0.200000,30
ablation,V2,0.5,0,rotated,0.266667,30
ablation,V2,0.5,0,sheared,0.333333,30
ablation,V4,0.5,0,canonical,0.500000,30
ablation,V4,0.5,0,fragmented,0.266667,30
ablation,V4,0.5,0,low_contrast,0.433333,30
ablation,V4,0.5,0,noise,0.300000,30
ablation,V4,0.5,0,crowded,0.233333,30
ablation,V4,0.5,0,rotated,0.366667,30
ablation,V4,0.5,0,sheared,0.433333,30
ablation,IT,0.5,0,canonical,0.400000,30
ablation,IT,0.5,0,fragmented,0.233333,30
ablation,IT,0.5,0,low_contrast,0.233333,30
ablation,IT,0.5,0,noise,0.566667,30
ablation,IT,0.5,0,crowded,0.233333,30
ablation,IT,0.5,0,rotated,0.266667,30
ablation,IT,0.5,0,sheared,0.533333,30
ablation,V1,0.7,0,canonical,0.466667,30
ablation,V1,0.7,0,fragmented,0.133333,30
ablation,V1,0.7,0,low_contrast,0.166667,30
ablation,V1,0.7,0,noise,0.166667,30
ablation,V1,0.7,0,crowded,0.166667,30
ablation,V1,0.7,0,rotated,0.333333,30
ablation,V1,0.7,0,sheared,0.233333,30
ablation,V2,0.7,0,canonical,0.266667,30
ablation,V2,0.7,0,fragmented,0.133333,30
ablation,V2,0.7,0,low_contrast,0.200000,30
ablation,V2,0.7,0,noise,0.100000,30
ablation,V2,0.7,0,crowded,0.166667,30
ablation,V2,0.7,0,rotated,0.266667,30
ablation,V2,0.7,0,sheared,0.100000,30
ablation,V4,0.7,0,canonical,0.066667,30
ablation,V4,0.7,0,fragmented,0.133333,30
ablation,V4,0.7,0,low_contrast,0.133333,30
ablation,V4,0.7,0,noise,0.100000,30
ablation,V4,0.7,0,crowded,0.133333,30
ablation,V4,0.7,0,rotated,0.100000,30
ablation,V4,0.7,0,sheared,0.100000,30
ablation,IT,0.7,0,canonical,0.266667,30
ablation,IT,0.7,0,fragmented,0.200000,30
ablation,IT,0.7,0,low_contrast,0.233333,30
ablation,IT,0.7,0,noise,0.333333,30
ablation,IT,0.7,0,crowded,0.233333,30
ablation,IT,0.7,0,rotated,0.333333,30
ablation,IT,0.7,0,sheared,0.300000,30
decay,V1,0.1,0,canonical,0.533333,30
decay,V1,0.1,0,fragmented,0.266667,30
decay,V1,0.1,0,low_contrast,0.700000,30
decay,V1,0.1,0,noise,0.900000,30
decay,V1,0.1,0,crowded,0.233333,30
decay,V1,0.1,0,rotated,0.566667,30
decay,V1,0.1,0,sheared,0.333333,30
decay,V2,0.1,0,canonical,0.933333,30
decay,V2,0.1,0,fragmented,0.666667,30
decay,V2,0.1,0,low_contrast,0.533333,30
decay,V2,0.1,0,noise,0.933333,30
decay,V2,0.1,0,crowded,0.433333,30
decay,V2,0.1,0,rotated,0.666667,30
decay,V2,0.1,0,sheared,0.666667,30
decay,V4,0.1,0,canonical,0.900000,30
decay,V4,0.1,0,fragmented,0.566667,30
decay,V4,0.1,0,low_contrast,0.733333,30
decay,V4,0.1,0,noise,0.500000,30
decay,V4,0.1,0,crowded,0.366667,30
decay,V4,0.1,0,rotated,0.566667,30
decay,V4,0.1,0,sheared,0.466667,30
decay,IT,0.1,0,canonical,0.766667,30
decay,IT,0.1,0,fragmented,0.466667,30
decay,IT,0.1,0,low_contrast,0.666667,30
decay,IT,0.1,0,noise,0.633333,30
decay,IT,0.1,0,crowded,0.333333,30
decay,IT,0.1,0,rotated,0.633333,30
decay,IT,0.1,0,sheared,0.600000,30
decay,V1,0.25,0,canonical,0.600000,30
decay,V1,0.25,0,fragmented,0.266667,30
decay,V1,0.25,0,low_contrast,0.766667,30
decay,V1,0.25,0,noise,0.633333,30
decay,V1,0.25,0,crowded,0.200000,30
decay,V1,0.25,0,rotated,0.333333,30
decay,V1,0.25,0,sheared,0.300000,30
decay,V2,0.25,0,canonical,0.700000,30
decay,V2,0.25,0,fragmented,0.266667,30
decay,V2,0.25,0,low_contrast,0.100000,30
decay,V2,0.25,0,noise,0.233333,30
decay,V2,0.25,0,crowded,0.333333,30
decay,V2,0.25,0,rotated,0.633333,30
decay,V2,0.25,0,sheared,0.233333,30
decay,V4,0.25,0,canonical,0.333333,30
decay,V4,0.25,0,fragmented,0.133333,30
decay,V4,0.25,0,low_contrast,0.100000,30
decay,V4,0.25,0,noise,0.100000,30
decay,V4,0.25,0,crowded,0.100000,30
decay,V4,0.25,0,rotated,0.066667,30
decay,V4,0.25,0,sheared,0.100000,30
decay,IT,0.25,0,canonical,0.166667,30
decay,IT,0.25,0,fragmented,0.100000,30
decay,IT,0.25,0,low_contrast,0.200000,30
