kind,severity,seed,stage,cka
ablation,0.05,0,V1,0.999928
ablation,0.05,0,V2,0.996682
ablation,0.05,0,V4,0.988027
ablation,0.05,0,IT,0.915335
ablation,0.05,1,V1,0.999987
ablation,0.05,1,V2,0.997567
ablation,0.05,1,V4,0.979989
ablation,0.05,1,IT,0.913226
ablation,0.05,2,V1,0.999978
ablation,0.05,2,V2,0.999589
ablation,0.05,2,V4,0.993448
ablation,0.05,2,IT,0.903863
ablation,0.1,0,V1,0.999080
ablation,0.1,0,V2,0.996685
ablation,0.1,0,V4,0.979104
ablation,0.1,0,IT,0.821289
ablation,0.1,1,V1,0.999899
ablation,0.1,1,V2,0.995817
ablation,0.1,1,V4,0.986094
ablation,0.1,1,IT,0.752685
ablation,0.1,2,V1,0.999955
ablation,0.1,2,V2,0.996394
ablation,0.1,2,V4,0.987061
ablation,0.1,2,IT,0.818306
ablation,0.2,0,V1,0.999062
ablation,0.2,0,V2,0.995019
ablation,0.2,0,V4,0.949459
ablation,0.2,0,IT,0.593443
ablation,0.2,1,V1,0.999929
ablation,0.2,1,V2,0.998538
ablation,0.2,1,V4,0.976737
ablation,0.2,1,IT,0.569134
ablation,0.2,2,V1,0.999934
ablation,0.2,2,V2,0.993874
ablation,0.2,2,V4,0.968994
ablation,0.2,2,IT,0.605385
ablation,0.35,0,V1,0.997676
ablation,0.35,0,V2,0.990763
ablation,0.35,0,V4,0.928326
ablation,0.35,0,IT,0.472635
ablation,0.35,1,V1,0.999816
ablation,0.35,1,V2,0.975292
ablation,0.35,1,V4,0.963519
ablation,0.35,1,IT,0.487796
ablation,0.35,2,V1,0.999151
ablation,0.35,2,V2,0.973628
ablation,0.35,2,V4,0.951825
ablation,0.35,2,IT,0.464208
ablation,0.5,0,V1,0.996247
ablation,0.5,0,V2,0.950907
ablation,0.5,0,V4,0.851403
ablation,0.5,0,IT,0.485227
ablation,0.5,1,V1,0.999804
ablation,0.5,1,V2,0.969824
ablation,0.5,1,V4,0.900770
ablation,0.5,1,IT,0.429734
ablation,0.5,2,V1,0.999323
ablation,0.5,2,V2,0.950566
ablation,0.5,2,V4,0.954123
ablation,0.5,2,IT,0.426828
decay,0.01,0,V1,0.999710
decay,0.01,0,V2,0.990496
decay,0.01,0,V4,0.968126
decay,0.01,0,IT,0.955566
decay,0.01,1,V1,0.998679
decay,0.01,1,V2,0.992297
decay,0.01,1,V4,0.993960
decay,0.01,1,IT,0.951416
decay,0.01,2,V1,0.999782
decay,0.01,2,V2,0.995983
decay,0.01,2,V4,0.992258
decay,0.01,2,IT,0.970345
decay,0.03,0,V1,0.997704
decay,0.03,0,V2,0.988306
decay,0.03,0,V4,0.980923
decay,0.03,0,IT,0.900449
decay,0.03,1,V1,0.998598
decay,0.03,1,V2,0.989978
decay,0.03,1,V4,0.988170
decay,0.03,1,IT,0.877890
decay,0.03,2,V1,0.999010
decay,0.03,2,V2,0.974643
decay,0.03,2,V4,0.982666
decay,0.03,2,IT,0.824115
decay,0.06,0,V1,0.999710
decay,0.06,0,V2,0.990405
decay,0.06,0,V4,0.974874
decay,0.06,0,IT,0.743731
decay,0.06,1,V1,0.999528
decay,0.06,1,V2,0.993618
decay,0.06,1,V4,0.931535
decay,0.06,1,IT,0.727900
decay,0.06,2,V1,0.998351
decay,0.06,2,V2,0.988301
decay,0.06,2,V4,0.963916
decay,0.06,2,IT,0.667186
decay,0.1,0,V1,0.996584
