stage,seed,matched_severity,canonical,fragmented,low_contrast,noise,crowded,rotated,sheared,degradation,transformation,dissociation
V1,0,0.0758333527778426,0.75,0.4812496390627705,0.6884918981470678,0.9443299613499356,0.36713835578059495,0.554986255971965,0.5971103382251912,0.6203024635850922,0.5760482970985781,-0.044254166486514146
V1,1,0.04101561218262119,0.75,0.6857409979622945,0.8227927091474172,0.9699025331728135,0.2684259813317742,0.4878332590172833,0.676159848046236,0.6867155554035748,0.5819965535317596,-0.10471900187181515
V1,2,0.054807661242555754,0.75,0.5302877450359493,0.9578755670607014,0.977931439701238,0.33962276610891207,0.4930643590718965,0.5418737689960755,0.7014293794767003,0.5174690640339861,-0.18396031544271418
V1,3,0.07375006562483592,0.75,0.5062489718786422,0.8591266666666668,0.9164952139689297,0.3573111973244425,0.4421104139728081,0.4390117305788441,0.6597955124596702,0.4405610722758261,-0.21923444018384408
V1,4,0.057321449999999996,0.75,0.6883918453123659,0.8945577919500001,0.8925643385519647,0.32412377981438123,0.6048008354610646,0.7050695102764549,0.6999094389071779,0.6549351728687598,-0.04497426603841814
V1,5,0.0239286,0.75,0.7053560468754647,0.9447274461444445,0.9771657840627291,0.3894874568344421,0.6077273065046033,0.6175109566857926,0.7541841834792702,0.6126191315951979,-0.1415650518840723
V2,0,0.11100006533324622,0.75,0.6087498651035056,0.3994704382720083,0.8860645522096898,0.43207514740778014,0.7434424682518382,0.7387095006599623,0.581590000748246,0.7410759844559003,0.15948598370765432
V2,1,0.09909101322370853,0.75,0.6028398985894888,0.5750359756639075,0.8554387237145897,0.43910683629356906,0.5465718443888606,0.6821844176046725,0.6181053585653888,0.6143781309967666,-0.0037272275686222045
V2,2,0.07249994166647222,0.75,0.739063018621104,0.6666673148169754,0.9723355019929111,0.5377356611203418,0.697745934169782,0.8084680833768011,0.728950374137833,0.7531070087732916,0.024156634635458585
V2,3,0.0958333527778426,0.75,0.7354165925344942,0.33796318672821496,0.6864753181268928,0.2727981849013819,0.6287560113578663,0.6797713326319637,0.5081633205727459,0.654263671994915,0.14610035142216904
V2,4,0.09375006562483595,0.75,0.5906236820322383,0.6170627777777777,0.8591177985379069,0.37323135499335064,0.67110650652643,0.6234879518825833,0.6100089033353184,0.6472972292045067,0.03728832586918829
V2,5,0.07173916219276141,0.75,0.7016295334428548,0.23913051407301897,0.8815036232310061,0.49179674469118395,0.6895931426033757,0.772440301311928,0.578515103859516,0.7310167219576518,0.15250161809813578
V4,0,0.16366278899405162,0.7500000000000001,0.4837201055373775,0.3502210340424131,0.1258103961937591,0.03773527589900453,0.40888323721060976,0.1708554398256569,0.24937170291813857,0.28986933851813335,0.04049763559999478
V4,1,0.1753947630193814,0.7500000000000001,0.3608545479185387,0.18421046168053976,0.10914583626782694,0.1094835556245556,0.353321939104546,0.12584842032105498,0.19092360037286524,0.2395851797128005,0.04866157933993526
V4,2,0.1283333765432419,0.75,0.42708213493503216,0.42680731938690314,0.15573750233890063,0.0587006211549982,0.41803196350555905,0.30689929138609073,0.2670818944539586,0.3624656274458249,0.09538373299186631
V4,3,0.15900011666705557,0.75,0.3316651568021508,0.3886232901198558,0.25136568147622823,0.024213582431783787,0.3827855357863028,0.3102151986342636,0.24896692770750461,0.3465003672102832,0.0975334395027786
V4,4,0.15156248359379101,0.75,0.44921775878956666,0.307043793402322,0.16982552418889924,0.26090854968089905,0.4935961820683976,0.37323557339764113,0.29674890651542174,0.4334158777330194,0.13666697121759763
V4,5,0.16140621308592212,0.75,0.49296806093819623,0.3906253190105496,0.12909867370162884,0.09375055203440995,0.35502078787419383,0.09551386429101585,0.2766106514211962,0.22526732608260486,-0.05134332533859132
IT,0,0.10468746445311018,0.7500000000000001,0.39374975026025844,0.5267863454864403,0.4836067814572742,0.34787716854112716,0.6511274647376875,0.6121474123739122,0.438005011436275,0.6316374385557999,0.19363242711952489
IT,1,0.0958333527778426,0.75,0.6104159362849862,0.44973537808551944,0.5976771901219572,0.27948135843054805,0.6355865942916378,0.7315185513851807,0.4843274657307527,0.6835525728384093,0.19922510710765662
IT,2,0.10552630706372569,0.75,0.5223685038261553,0.6012953747306949,0.5478862338853715,0.4851038396369612,0.6762295034936868,0.6769947670180398,0.5391634880197957,0.6766121352558634,0.13744864723606764
IT,3,0.09249998541670312,0.75,0.44062529713487486,0.6170634143516494,0.5461066619210642,0.442216916365944,0.5942618388876202,0.7500001881721038,0.5115030724433831,0.6721310135298619,0.16062794108647882
IT,4,0.08374989062527344,0.75,0.5906254320309259,0.6041667187484809,0.5630130133195959,0.5554247389546851,0.6767422478600658,0.6824607569414425,0.5783074757634219,0.6796015024007541,0.10129402663733222
IT,5,0.09399998133335821,0.75,0.5974990593761954,0.634920425926099,0.6065570268300561,0.43490601731324785,0.6459010506498994,0.7911290175684301,0.5684706323613996,0.7185150341091648,0.15004440174776523
