stage,seed,matched_severity,canonical,fragmented,low_contrast,noise,crowded,rotated,sheared,degradation,transformation,dissociation
V1,0,0.3230769230769231,0.75,0.43131868131868123,0.6810717372515125,0.8542039355992844,0.37019230769230765,0.6644230769230769,0.6932814021421615,0.5841966654654464,0.6788522395326192,0.09465557406717284
V1,1,0.45,0.75,0.6964285714285714,0.6629213483146067,0.5465116279069767,0.5520833333333333,0.73125,0.7594936708860759,0.6144862202458721,0.7453718354430379,0.1308856151971658
V1,2,0.4944444444444446,0.75,0.4781746031746031,0.675405742821473,0.13565891472868208,0.6967592592592591,0.7124999999999998,0.651195499296765,0.4964996299960043,0.6818477496483824,0.18534811965237807
V1,3,0.6844827586206897,0.75,0.15640394088669946,0.5586981790003874,0.43103448275862066,0.5107758620689655,0.5538793103448274,0.5857704059362722,0.4142281161786682,0.5698248581405498,0.1555967419618816
V1,4,0.5763157894736842,0.75,0.35714285714285704,0.5410999408633945,0.11138310893512854,0.4835526315789474,0.5736842105263158,0.44570286475682874,0.37329463463008183,0.5096935376415723,0.1363989030114905
V2,0,0.4647058823529412,0.75,0.5015756302521008,0.3747521480502313,0.5984952120383037,0.3134191176470589,0.5952205882352941,0.5960536113179449,0.44706052699692367,0.5956370997766195,0.14857657277969583
V2,1,0.663888888888889,0.75,0.27678571428571425,0.7247191011235954,0.02196382428940567,0.3032407407407407,0.41527777777777763,0.2827004219409282,0.33167734510986396,0.3489890998593529,0.017311754749488928
V2,2,0.5136363636363637,0.75,0.5040584415584415,0.620020429009193,0.38583509513742065,0.587121212121212,0.7272727272727273,0.6634062140391254,0.5242587944565668,0.6953394706559264,0.17108067619935963
V2,3,0.4797872340425532,0.75,0.4779635258358663,0.48075543868037296,0.5242454230578922,0.3825354609929078,0.5372340425531914,0.4352275787772691,0.4663749621417598,0.4862308106652302,0.019855848523470443
V2,4,0.3416666666666667,0.75,0.5357142857142856,0.7677902621722846,0.4082687338501292,0.5231481481481481,0.6298611111111111,0.6589310829817158,0.5587303574712119,0.6443960970464134,0.08566573957520152
V4,0,0.3,0.75,0.8035714285714286,0.8202247191011236,0.8837209302325582,0.75,0.7499999999999999,0.7721518987341771,0.8143792694762776,0.7610759493670884,-0.053303320109189145
V4,1,0.5388888888888889,0.7500000000000001,0.4087301587301588,0.6953807740324595,0.4147286821705427,0.36805555555555564,0.5791666666666667,0.5007032348804501,0.4717237926221791,0.5399349507735585,0.06821115815137935
V4,2,0.39375000000000004,0.75,0.625,0.5772471910112359,0.6642441860465116,0.5807291666666666,0.4499999999999999,0.47626582278481,0.6118051359311035,0.463132911392405,-0.14867222453869855
V4,3,0.5357142857142857,0.75,0.30357142857142855,0.6324237560192617,0.3571428571428572,0.5773809523809524,0.5089285714285714,0.5063291139240507,0.46762974852862493,0.507628842676311,0.0399990941476861
V4,4,0.47105263157894744,0.75,0.3703007518796992,0.5996451803666469,0.6211750305997551,0.4407894736842105,0.581578947368421,0.6222518321119253,0.507977609132578,0.6019153897401731,0.09393778060759517
IT,0,0.6233333333333334,0.75,0.7999999999999999,0.7063670411985018,0.7294573643410853,0.5194444444444445,0.5191666666666666,0.4531645569620252,0.6888172124960078,0.48616561181434587,-0.20265160068166194
IT,1,0.8625,0.75,0.4732142857142856,0.7730337078651686,0.747093023255814,0.346875,0.545625,0.7765822784810126,0.585054004208817,0.6611036392405063,0.07604963503168927
IT,2,0.5055555555555556,0.75,0.6746031746031745,0.7621722846441947,0.8397932816537468,0.5034722222222221,0.7819444444444443,0.7897327707454289,0.6950102407808345,0.7858386075949366,0.09082836681410211
IT,3,0.8264705882352941,0.75,0.6092436974789917,0.5875743555849307,0.6258549931600548,0.5343137254901962,0.6676470588235294,0.5748324646314222,0.5892466929285434,0.6212397617274759,0.03199306879893249
IT,4,0.514,0.75,0.6157142857142857,0.743370786516854,0.7813953488372093,0.5525,0.7064999999999999,0.6830379746835442,0.6732451052670871,0.6947689873417721,0.02152388207468492
