stage,seed,matched_severity,canonical,fragmented,low_contrast,noise,crowded,unusual_view,degradation,transformation,dissociation
V1,0,0.18020833333333336,0.75,0.6133261494252873,0.403323970037453,0.8353009259259259,0.36629566210045655,0.5128600823045266,0.5545616768722808,0.5128600823045266,-0.04170159456775413
V1,1,0.17589285714285713,0.75,0.4564347290640394,0.5749398073836276,0.8353174603174603,0.3672945205479454,0.6354717813051147,0.5584966293282682,0.6354717813051147,0.07697515197684657
V1,2,0.11562500000000009,0.75,0.5328663793103446,0.6137640449438199,0.8979166666666663,0.4160958904109588,0.6628086419753085,0.6151607453329473,0.6628086419753085,0.04764789664236124
V2,0,0.3488839285714286,0.75,0.4097136699507389,0.5704755216693418,0.2661706349206349,0.4506482387475539,0.5714836860670193,0.4242520163220674,0.5714836860670193,0.1472316697449519
V2,1,0.39374999999999993,0.75,0.4137931034482761,0.2219101123595506,0.3152777777777779,0.35616438356164387,0.5833333333333335,0.3267863442868121,0.5833333333333335,0.2565469890465214
V2,2,0.2965909090909091,0.7499999999999999,0.6391065830721002,0.7391470888661898,0.36767676767676744,0.5541718555417187,0.7074915824915825,0.575025573789194,0.7074915824915825,0.13246600870238845
V4,0,0.1387931034482759,0.75,0.5393876337693221,0.7674351026733823,0.7630268199233716,0.5193670288143598,0.6245210727969347,0.647304146295109,0.6245210727969347,-0.022783073498174322
V4,1,0.13136363636363638,0.75,0.6352664576802507,0.6991317671092951,0.7793434343434343,0.5995641344956414,0.6105499438832771,0.6783264484071554,0.6105499438832771,-0.06777650452387829
V4,2,0.2161764705882353,0.75,0.21019269776876265,0.6275611368142763,0.6527777777777778,0.36482675261885567,0.6151053013798112,0.463839591244918,0.6151053013798112,0.1512657101348932
IT,0,0.3591346153846154,0.75,0.649867374005305,0.6393690579083837,0.7460470085470086,0.5167281348788199,0.695750237416904,0.6380028938348792,0.695750237416904,0.057747343582024824
IT,1,0.3441964285714285,0.75,0.5688115763546799,0.7612359550561798,0.7842261904761905,0.4575587084148729,0.6556437389770723,0.6429581075754809,0.6556437389770723,0.012685631401591402
IT,2,0.33375,0.75,0.5590517241379309,0.7061797752808989,0.7727777777777778,0.3890410958904109,0.5722222222222223,0.6067625932717546,0.5722222222222223,-0.03454037104953234
