w_inh_nS,tau_inh_ms,seed,rate_exc_hz,rate_inh_hz,exponent,fit_r2,knee_hz,gamma_rel_power
6.0,6.0,0,159.919,160.713,0.6411,0.2554,,0.27116
6.0,6.0,1,161.12,160.072,0.8432,0.417,,0.24092
6.0,6.0,2,158.679,158.84,0.785,0.2879,,0.25208
6.0,10.0,0,18.909,18.874,2.9722,0.7384,18.0682,0.06976
6.0,10.0,1,17.85,17.88,3.3502,0.6719,20.674,0.07982
6.0,10.0,2,18.253,18.117,2.2482,0.5761,19.7892,0.07189
6.0,15.0,0,8.949,8.986,2.9432,0.759,34.2129,0.21622
6.0,15.0,1,8.635,8.704,2.9578,0.8187,34.5201,0.20124
6.0,15.0,2,8.637,8.666,2.9099,0.7188,33.9205,0.2029
9.0,6.0,0,74.055,75.102,1.4238,0.6745,152.9913,0.21092
9.0,6.0,1,75.903,75.597,1.8081,0.6288,155.95,0.32227
9.0,6.0,2,82.188,80.017,1.6174,0.8244,162.3652,0.29217
9.0,10.0,0,5.922,6.103,2.7884,0.6322,52.3802,0.18992
9.0,10.0,1,5.811,5.952,2.9054,0.7185,49.3074,0.19862
9.0,10.0,2,6.668,6.526,2.4447,0.6412,49.0567,0.14988
9.0,15.0,0,3.522,3.65,2.6494,0.8556,48.0661,0.21189
9.0,15.0,1,3.662,3.675,2.4657,0.788,52.0196,0.22027
9.0,15.0,2,3.859,3.822,2.6585,0.7147,48.0884,0.21195
12.0,6.0,0,30.769,32.095,1.5986,0.5845,53.4965,0.22225
12.0,6.0,1,34.593,34.458,1.5935,0.8374,59.453,0.25402
12.0,6.0,2,41.3,39.087,1.4485,0.6575,115.6633,0.29273
12.0,10.0,0,3.829,3.926,3.0,0.7591,51.1197,0.22748
12.0,10.0,1,3.739,3.785,2.9271,0.6795,49.9592,0.20968
12.0,10.0,2,4.712,4.557,2.9167,0.8107,41.6724,0.18907
12.0,15.0,0,2.447,2.521,2.1707,0.7859,49.0683,0.18708
12.0,15.0,1,2.542,2.519,2.4548,0.8128,46.6429,0.19179
12.0,15.0,2,2.523,2.521,2.3387,0.696,47.7238,0.19817
