gain,scope,measure,group,value,n
0.55,global,accuracy,canonical,0.100000,100
0.55,global,accuracy,fragmented,0.100000,100
0.55,global,accuracy,low_contrast,0.100000,100
0.55,global,accuracy,noise,0.100000,100
0.55,global,accuracy,crowded,0.100000,100
0.55,global,accuracy,rotated,0.100000,100
0.55,global,accuracy,sheared,0.100000,100
0.55,global,confidence,blob_texture,0.762204,100
0.55,global,entropy,blob_texture,0.918313,100
0.55,global,confidence,low_contrast_noise,0.590874,100
0.55,global,entropy,low_contrast_noise,1.238198,100
0.55,global,confidence,white_noise,0.547428,100
0.55,global,entropy,white_noise,1.313437,100
0.55,global,confidence,all_absent,0.633502,300
0.7,global,accuracy,canonical,0.100000,100
0.7,global,accuracy,fragmented,0.100000,100
0.7,global,accuracy,low_contrast,0.100000,100
0.7,global,accuracy,noise,0.110000,100
0.7,global,accuracy,crowded,0.100000,100
0.7,global,accuracy,rotated,0.110000,100
0.7,global,accuracy,sheared,0.160000,100
0.7,global,confidence,blob_texture,0.654562,100
0.7,global,entropy,blob_texture,1.126864,100
0.7,global,confidence,low_contrast_noise,0.439415,100
0.7,global,entropy,low_contrast_noise,1.444735,100
0.7,global,confidence,white_noise,0.348537,100
0.7,global,entropy,white_noise,1.526872,100
0.7,global,confidence,all_absent,0.480838,300
0.85,global,accuracy,canonical,0.810000,100
0.85,global,accuracy,fragmented,0.430000,100
0.85,global,accuracy,low_contrast,0.590000,100
0.85,global,accuracy,noise,0.510000,100
0.85,global,accuracy,crowded,0.240000,100
0.85,global,accuracy,rotated,0.640000,100
0.85,global,accuracy,sheared,0.690000,100
0.85,global,confidence,blob_texture,0.645311,100
0.85,global,entropy,blob_texture,1.071506,100
0.85,global,confidence,low_contrast_noise,0.475280,100
0.85,global,entropy,low_contrast_noise,1.398619,100
0.85,global,confidence,white_noise,0.414538,100
0.85,global,entropy,white_noise,1.551551,100
0.85,global,confidence,all_absent,0.511710,300
1.0,global,accuracy,canonical,0.980000,100
1.0,global,accuracy,fragmented,0.660000,100
1.0,global,accuracy,low_contrast,0.990000,100
1.0,global,accuracy,noise,0.960000,100
1.0,global,accuracy,crowded,0.580000,100
1.0,global,accuracy,rotated,0.900000,100
1.0,global,accuracy,sheared,0.890000,100
1.0,global,confidence,blob_texture,0.611731,100
1.0,global,entropy,blob_texture,1.047593,100
1.0,global,confidence,low_contrast_noise,0.428543,100
1.0,global,entropy,low_contrast_noise,1.471947,100
1.0,global,confidence,white_noise,0.331003,100
1.0,global,entropy,white_noise,1.661756,100
1.0,global,confidence,all_absent,0.457092,300
1.15,global,accuracy,canonical,0.860000,100
1.15,global,accuracy,fragmented,0.370000,100
1.15,global,accuracy,low_contrast,0.800000,100
1.15,global,accuracy,noise,0.650000,100
1.15,global,accuracy,crowded,0.330000,100
1.15,global,accuracy,rotated,0.660000,100
1.15,global,accuracy,sheared,0.680000,100
1.15,global,confidence,blob_texture,0.841443,100
1.15,global,entropy,blob_texture,0.395823,100
1.15,global,confidence,low_contrast_noise,0.832633,100
1.15,global,entropy,low_contrast_noise,0.442174,100
1.15,global,confidence,white_noise,0.977887,100
1.15,global,entropy,white_noise,0.094680,100
1.15,global,confidence,all_absent,0.883988,300
1.3,global,accuracy,canonical,0.520000,100
1.3,global,accuracy,fragmented,0.180000,100
1.3,global,accuracy,low_contrast,0.410000,100
1.3,global,accuracy,noise,0.330000,100
1.3,global,accuracy,crowded,0.200000,100
1.3,global,accuracy,rotated,0.420000,100
1.3,global,accuracy,sheared,0.270000,100
1.3,global,confidence,blob_texture,0.968150,100
1.3,global,entropy,blob_texture,0.091271,100
1.3,global,confidence,low_contrast_noise,0.999888,100
1.3,global,entropy,low_contrast_noise,0.001043,100
1.3,global,confidence,white_noise,0.926307,100
1.3,global,entropy,white_noise,0.193651,100
1.3,global,confidence,all_absent,0.964781,300
1.5,global,accuracy,canonical,0.300000,100
1.5,global,accuracy,fragmented,0.120000,100
1.5,global,accuracy,low_contrast,0.270000,100
1.5,global,accuracy,noise,0.180000,100
1.5,global,accuracy,crowded,0.130000,100
1.5,global,accuracy,rotated,0.210000,100
1.5,global,accuracy,sheared,0.180000,100
1.5,global,confidence,blob_texture,0.943044,100
1.5,global,entropy,blob_texture,0.125193,100
1.5,global,confidence,low_contrast_noise,0.999940,100
1.5,global,entropy,low_contrast_noise,0.000558,100
1.5,global,confidence,white_noise,0.906109,100
1.5,global,entropy,white_noise,0.222751,100
1.5,global,confidence,all_absent,0.949697,300
1.8,global,accuracy,canonical,0.150000,100
1.8,global,accuracy,fragmented,0.090000,100
1.8,global,accuracy,low_contrast,0.150000,100
1.8,global,accuracy,noise,0.130000,100
1.8,global,accuracy,crowded,0.100000,100
1.8,global,accuracy,rotated,0.180000,100
1.8,global,accuracy,sheared,0.130000,100
1.8,global,confidence,blob_texture,0.973334,100
1.8,global,entropy,blob_texture,0.067466,100
1.8,global,confidence,low_contrast_noise,0.998961,100
1.8,global,entropy,low_contrast_noise,0.005781,100
1.8,global,confidence,white_noise,0.927959,100
1.8,global,entropy,white_noise,0.169452,100
1.8,global,confidence,all_absent,0.966751,300
