kind,stage,severity,seed,condition,accuracy,n
intact,none,0.0,0,canonical,0.990000,100
intact,none,0.0,0,fragmented,0.680000,100
intact,none,0.0,0,low_contrast,0.990000,100
intact,none,0.0,0,noise,1.000000,100
intact,none,0.0,0,crowded,0.830000,100
intact,none,0.0,0,unusual_view,0.910000,100
ablation,V1,0.1,0,canonical,0.960000,100
ablation,V1,0.1,0,fragmented,0.560000,100
ablation,V1,0.1,0,low_contrast,0.860000,100
ablation,V1,0.1,0,noise,0.940000,100
ablation,V1,0.1,0,crowded,0.600000,100
ablation,V1,0.1,0,unusual_view,0.740000,100
ablation,V2,0.1,0,canonical,0.890000,100
ablation,V2,0.1,0,fragmented,0.540000,100
ablation,V2,0.1,0,low_contrast,0.960000,100
ablation,V2,0.1,0,noise,0.890000,100
ablation,V2,0.1,0,crowded,0.600000,100
ablation,V2,0.1,0,unusual_view,0.770000,100
ablation,V4,0.1,0,canonical,0.880000,100
ablation,V4,0.1,0,fragmented,0.440000,100
ablation,V4,0.1,0,low_contrast,0.880000,100
ablation,V4,0.1,0,noise,0.810000,100
ablation,V4,0.1,0,crowded,0.580000,100
ablation,V4,0.1,0,unusual_view,0.730000,100
ablation,IT,0.1,0,canonical,0.990000,100
ablation,IT,0.1,0,fragmented,0.570000,100
ablation,IT,0.1,0,low_contrast,0.980000,100
ablation,IT,0.1,0,noise,0.990000,100
ablation,IT,0.1,0,crowded,0.680000,100
ablation,IT,0.1,0,unusual_view,0.870000,100
ablation,V1,0.1,1,canonical,0.980000,100
ablation,V1,0.1,1,fragmented,0.600000,100
ablation,V1,0.1,1,low_contrast,0.680000,100
ablation,V1,0.1,1,noise,0.700000,100
ablation,V1,0.1,1,crowded,0.740000,100
ablation,V1,0.1,1,unusual_view,0.850000,100
ablation,V2,0.1,1,canonical,0.990000,100
ablation,V2,0.1,1,fragmented,0.630000,100
ablation,V2,0.1,1,low_contrast,0.960000,100
ablation,V2,0.1,1,noise,0.880000,100
ablation,V2,0.1,1,crowded,0.700000,100
ablation,V2,0.1,1,unusual_view,0.870000,100
ablation,V4,0.1,1,canonical,0.940000,100
ablation,V4,0.1,1,fragmented,0.550000,100
ablation,V4,0.1,1,low_contrast,0.970000,100
