kind,stage,severity,seed,condition,accuracy,n
intact,none,0.0,0,canonical,1.000000,70
intact,none,0.0,0,fragmented,0.671429,70
intact,none,0.0,0,low_contrast,1.000000,70
intact,none,0.0,0,noise,0.971429,70
intact,none,0.0,0,crowded,0.857143,70
intact,none,0.0,0,rotated,0.971429,70
intact,none,0.0,0,sheared,0.985714,70
ablation,V1,0.08,0,canonical,0.942857,70
ablation,V1,0.08,0,fragmented,0.557143,70
ablation,V1,0.08,0,low_contrast,0.942857,70
ablation,V1,0.08,0,noise,0.900000,70
ablation,V1,0.08,0,crowded,0.428571,70
ablation,V1,0.08,0,rotated,0.700000,70
ablation,V1,0.08,0,sheared,0.657143,70
ablation,V2,0.08,0,canonical,1.000000,70
ablation,V2,0.08,0,fragmented,0.628571,70
ablation,V2,0.08,0,low_contrast,0.985714,70
ablation,V2,0.08,0,noise,0.842857,70
ablation,V2,0.08,0,crowded,0.700000,70
ablation,V2,0.08,0,rotated,0.928571,70
ablation,V2,0.08,0,sheared,0.928571,70
ablation,V4,0.08,0,canonical,0.971429,70
ablation,V4,0.08,0,fragmented,0.571429,70
ablation,V4,0.08,0,low_contrast,1.000000,70
ablation,V4,0.08,0,noise,0.928571,70
ablation,V4,0.08,0,crowded,0.557143,70
ablation,V4,0.08,0,rotated,0.800000,70
ablation,V4,0.08,0,sheared,0.828571,70
ablation,IT,0.08,0,canonical,1.000000,70
ablation,IT,0.08,0,fragmented,0.657143,70
ablation,IT,0.08,0,low_contrast,1.000000,70
ablation,IT,0.08,0,noise,0.971429,70
ablation,IT,0.08,0,crowded,0.757143,70
ablation,IT,0.08,0,rotated,0.942857,70
ablation,IT,0.08,0,sheared,0.957143,70
ablation,V1,0.08,1,canonical,0.871429,70
ablation,V1,0.08,1,fragmented,0.528571,70
ablation,V1,0.08,1,low_contrast,0.757143,70
ablation,V1,0.08,1,noise,0.942857,70
ablation,V1,0.08,1,crowded,0.457143,70
ablation,V1,0.08,1,rotated,0.657143,70
ablation,V1,0.08,1,sheared,0.885714,70
ablation,V2,0.08,1,canonical,1.000000,70
ablation,V2,0.08,1,fragmented,0.528571,70
ablation,V2,0.08,1,low_contrast,0.942857,70
ablation,V2,0.08,1,noise,0.771429,70
ablation,V2,0.08,1,crowded,0.585714,70
ablation,V2,0.08,1,rotated,0.828571,70
ablation,V2,0.08,1,sheared,0.914286,70
ablation,V4,0.08,1,canonical,0.857143,70
ablation,V4,0.08,1,fragmented,0.442857,70
ablation,V4,0.08,1,low_contrast,0.842857,70
ablation,V4,0.08,1,noise,0.657143,70
ablation,V4,0.08,1,crowded,0.400000,70
ablation,V4,0.08,1,rotated,0.671429,70
ablation,V4,0.08,1,sheared,0.757143,70
ablation,IT,0.08,1,canonical,0.985714,70
ablation,IT,0.08,1,fragmented,0.614286,70
ablation,IT,0.08,1,low_contrast,0.971429,70
ablation,IT,0.08,1,noise,0.985714,70
ablation,IT,0.08,1,crowded,0.614286,70
ablation,IT,0.08,1,rotated,0.914286,70
ablation,IT,0.08,1,sheared,0.928571,70
ablation,V1,0.08,2,canonical,0.814286,70
ablation,V1,0.08,2,fragmented,0.428571,70
ablation,V1,0.08,2,low_contrast,0.457143,70
ablation,V1,0.08,2,noise,0.971429,70
ablation,V1,0.08,2,crowded,0.371429,70
ablation,V1,0.08,2,rotated,0.642857,70
ablation,V1,0.08,2,sheared,0.657143,70
ablation,V2,0.08,2,canonical,1.000000,70
ablation,V2,0.08,2,fragmented,0.571429,70
ablation,V2,0.08,2,low_contrast,0.971429,70
ablation,V2,0.08,2,noise,0.928571,70
ablation,V2,0.08,2,crowded,0.542857,70
ablation,V2,0.08,2,rotated,0.828571,70
ablation,V2,0.08,2,sheared,0.957143,70
ablation,V4,0.08,2,canonical,0.985714,70
ablation,V4,0.08,2,fragmented,0.500000,70
ablation,V4,0.08,2,low_contrast,0.985714,70
ablation,V4,0.08,2,noise,0.700000,70
ablation,V4,0.08,2,crowded,0.657143,70
ablation,V4,0.08,2,rotated,0.842857,70
ablation,V4,0.08,2,sheared,0.814286,70
ablation,IT,0.08,2,canonical,0.985714,70
ablation,IT,0.08,2,fragmented,0.628571,70
ablation,IT,0.08,2,low_contrast,0.971429,70
ablation,IT,0.08,2,noise,0.957143,70
ablation,IT,0.08,2,crowded,0.685714,70
ablation,IT,0.08,2,rotated,0.914286,70
ablation,IT,0.08,2,sheared,0.914286,70
ablation,V1,0.08,3,canonical,0.885714,70
ablation,V1,0.08,3,fragmented,0.528571,70
ablation,V1,0.08,3,low_contrast,0.600000,70
ablation,V1,0.08,3,noise,0.900000,70
ablation,V1,0.08,3,crowded,0.442857,70
ablation,V1,0.08,3,rotated,0.642857,70
ablation,V1,0.08,3,sheared,0.785714,70
ablation,V2,0.08,3,canonical,1.000000,70
ablation,V2,0.08,3,fragmented,0.642857,70
