kind,stage,severity,seed,condition,accuracy,n
intact,none,0.0,0,canonical,0.980000,100
intact,none,0.0,0,fragmented,0.660000,100
intact,none,0.0,0,low_contrast,0.990000,100
intact,none,0.0,0,noise,0.960000,100
intact,none,0.0,0,crowded,0.580000,100
intact,none,0.0,0,rotated,0.900000,100
intact,none,0.0,0,sheared,0.890000,100
ff,V2,0.08,0,canonical,0.980000,100
ff,V2,0.08,0,fragmented,0.640000,100
ff,V2,0.08,0,low_contrast,0.970000,100
ff,V2,0.08,0,noise,0.910000,100
ff,V2,0.08,0,crowded,0.540000,100
ff,V2,0.08,0,rotated,0.910000,100
ff,V2,0.08,0,sheared,0.890000,100
ff,V2,0.08,1,canonical,0.980000,100
ff,V2,0.08,1,fragmented,0.640000,100
ff,V2,0.08,1,low_contrast,0.970000,100
ff,V2,0.08,1,noise,0.800000,100
ff,V2,0.08,1,crowded,0.500000,100
ff,V2,0.08,1,rotated,0.860000,100
ff,V2,0.08,1,sheared,0.890000,100
ff,V2,0.08,2,canonical,0.960000,100
ff,V2,0.08,2,fragmented,0.600000,100
ff,V2,0.08,2,low_contrast,0.960000,100
ff,V2,0.08,2,noise,0.940000,100
ff,V2,0.08,2,crowded,0.540000,100
ff,V2,0.08,2,rotated,0.800000,100
ff,V2,0.08,2,sheared,0.850000,100
ff,V2,0.18,0,canonical,0.960000,100
ff,V2,0.18,0,fragmented,0.670000,100
ff,V2,0.18,0,low_contrast,0.880000,100
ff,V2,0.18,0,noise,0.800000,100
ff,V2,0.18,0,crowded,0.520000,100
ff,V2,0.18,0,rotated,0.830000,100
ff,V2,0.18,0,sheared,0.730000,100
ff,V2,0.18,1,canonical,0.910000,100
ff,V2,0.18,1,fragmented,0.610000,100
ff,V2,0.18,1,low_contrast,0.960000,100
ff,V2,0.18,1,noise,0.740000,100
ff,V2,0.18,1,crowded,0.520000,100
ff,V2,0.18,1,rotated,0.780000,100
ff,V2,0.18,1,sheared,0.780000,100
ff,V2,0.18,2,canonical,0.960000,100
ff,V2,0.18,2,fragmented,0.580000,100
ff,V2,0.18,2,low_contrast,0.910000,100
ff,V2,0.18,2,noise,0.870000,100
ff,V2,0.18,2,crowded,0.470000,100
ff,V2,0.18,2,rotated,0.770000,100
ff,V2,0.18,2,sheared,0.740000,100
ff,V2,0.3,0,canonical,0.940000,100
ff,V2,0.3,0,fragmented,0.520000,100
ff,V2,0.3,0,low_contrast,0.690000,100
ff,V2,0.3,0,noise,0.490000,100
ff,V2,0.3,0,crowded,0.360000,100
ff,V2,0.3,0,rotated,0.680000,100
ff,V2,0.3,0,sheared,0.630000,100
ff,V2,0.3,1,canonical,0.840000,100
ff,V2,0.3,1,fragmented,0.320000,100
ff,V2,0.3,1,low_contrast,0.880000,100
ff,V2,0.3,1,noise,0.630000,100
ff,V2,0.3,1,crowded,0.310000,100
ff,V2,0.3,1,rotated,0.640000,100
ff,V2,0.3,1,sheared,0.630000,100
ff,V2,0.3,2,canonical,0.970000,100
ff,V2,0.3,2,fragmented,0.510000,100
ff,V2,0.3,2,low_contrast,0.630000,100
ff,V2,0.3,2,noise,0.690000,100
ff,V2,0.3,2,crowded,0.390000,100
ff,V2,0.3,2,rotated,0.710000,100
ff,V2,0.3,2,sheared,0.630000,100
ff,V2,0.45,0,canonical,0.940000,100
ff,V2,0.45,0,fragmented,0.420000,100
ff,V2,0.45,0,low_contrast,0.480000,100
ff,V2,0.45,0,noise,0.430000,100
ff,V2,0.45,0,crowded,0.260000,100
ff,V2,0.45,0,rotated,0.670000,100
ff,V2,0.45,0,sheared,0.540000,100
ff,V2,0.45,1,canonical,0.860000,100
ff,V2,0.45,1,fragmented,0.440000,100
ff,V2,0.45,1,low_contrast,0.600000,100
ff,V2,0.45,1,noise,0.380000,100
ff,V2,0.45,1,crowded,0.140000,100
ff,V2,0.45,1,rotated,0.630000,100
ff,V2,0.45,1,sheared,0.370000,100
ff,V2,0.45,2,canonical,0.820000,100
ff,V2,0.45,2,fragmented,0.280000,100
ff,V2,0.45,2,low_contrast,0.370000,100
ff,V2,0.45,2,noise,0.290000,100
ff,V2,0.45,2,crowded,0.290000,100
ff,V2,0.45,2,rotated,0.550000,100
ff,V2,0.45,2,sheared,0.450000,100
ff,V2,0.62,0,canonical,0.660000,100
ff,V2,0.62,0,fragmented,0.260000,100
ff,V2,0.62,0,low_contrast,0.330000,100
ff,V2,0.62,0,noise,0.130000,100
ff,V2,0.62,0,crowded,0.270000,100
ff,V2,0.62,0,rotated,0.370000,100
ff,V2,0.62,0,sheared,0.310000,100
ff,V2,0.62,1,canonical,0.500000,100
ff,V2,0.62,1,fragmented,0.280000,100
ff,V2,0.62,1,low_contrast,0.120000,100
ff,V2,0.62,1,noise,0.360000,100
ff,V2,0.62,1,crowded,0.230000,100
ff,V2,0.62,1,rotated,0.240000,100
ff,V2,0.62,1,sheared,0.150000,100
ff,V2,0.62,2,canonical,0.340000,100
ff,V2,0.62,2,fragmented,0.130000,100
ff,V2,0.62,2,low_contrast,0.140000,100
ff,V2,0.62,2,noise,0.100000,100
ff,V2,0.62,2,crowded,0.170000,100
ff,V2,0.62,2,rotated,0.130000,100
ff,V2,0.62,2,sheared,0.150000,100
rec,V2,0.08,0,canonical,0.980000,100
rec,V2,0.08,0,fragmented,0.620000,100
rec,V2,0.08,0,low_contrast,0.890000,100
rec,V2,0.08,0,noise,0.900000,100
rec,V2,0.08,0,crowded,0.520000,100
rec,V2,0.08,0,rotated,0.890000,100
rec,V2,0.08,0,sheared,0.850000,100
rec,V2,0.08,1,canonical,0.960000,100
rec,V2,0.08,1,fragmented,0.610000,100
rec,V2,0.08,1,low_contrast,0.930000,100
rec,V2,0.08,1,noise,0.800000,100
